Session_Duration,Pages_Visited,Bounce_Rate,Conversions,Returning_Customer
349.67141530112326,4,43.02,0,1
286.1735698828815,7,87.5,0,0
364.76885381006923,7,30.15,0,0
452.30298564080255,2,9.46,0,0
276.5846625276664,5,75.84,0,0
276.58630430508197,6,60.6,0,0
457.92128155073914,5,57.03,0,0
376.7434729152909,2,5.36,1,1
253.0525614065048,7,14.05,1,1
354.25600435859644,9,62.25,0,0
253.65823071875377,6,20.78,0,1
253.42702464297432,5,50.41,0,1
324.1962271566034,6,54.49,0,1
108.67197553422022,5,28.35,0,1
127.50821674869673,5,94.84,0,0
243.77124707590272,5,84.25,0,0
198.71688796655764,4,72.24,1,0
331.4247332595274,8,7.8,0,0
209.1975924478789,4,10.61,0,0
158.76962986647086,5,49.28,0,0
446.56487689215544,3,16.07,0,1
277.4223699513464,7,97.83,0,1
306.7528204687924,2,15.85,0,1
157.5251813786543,5,48.75,0,1
245.56172754748172,10,36.41,0,1
311.0922589709866,7,63.94,0,0
184.90064225776973,7,12.9,0,0
337.5698018345672,10,43.03,0,0
239.9361310081195,1,27.47,0,1
270.8306250206723,5,88.78,0,0
239.82933877706031,3,4.06,0,1
485.2278184508938,8,91.37,0,0
298.6502775262066,7,83.3,0,0
194.22890710440998,3,29.76,0,1
382.2544912103189,1,78.93,0,0
177.91563500289777,5,3.12,0,0
320.8863595004755,3,96.69,0,0
104.03298761202245,6,52.66,0,0
167.18139511015696,3,30.33,0,1
319.68612358691234,4,36.26,0,0
373.84665799954104,5,6.64,0,0
317.1368281189971,8,98.93,0,0
288.4351717611759,7,3.93,1,1
269.8896304410711,5,65.49,0,0
152.14780096325725,4,44.27,1,1
228.01557916052914,6,94.89,0,1
253.93612290402126,8,24.6,0,0
405.71222262189156,4,53.21,0,1
334.3618289568461,3,48.24,0,1
123.6959844637266,2,70.29,0,0
332.40839693947953,3,6.8,0,0
261.49177195836836,9,19.38,0,1
232.30779996940413,5,21.46,0,1
361.1676288840868,4,73.82,1,0
403.0999522495951,7,18.91,1,0
393.12801191161986,8,57.35,0,1
216.07824767773616,4,21.52,0,1
269.07876241487855,4,86.16,0,1
333.1263431403564,8,94.22,0,0
397.5545127122359,5,51.85,0,1
252.08257621547102,5,35.23,0,0
281.4341023336183,6,23.41,0,0
189.36650259939717,7,4.98,1,1
180.37933759193294,2,26.85,0,1
381.2525822394198,1,65.42,0,0
435.6240028570823,7,53.36,0,0
292.7989878419666,5,94.4,0,1
400.35328978920245,4,39.63,0,0
336.1636025047634,4,69.39,0,1
235.48802453948758,3,48.93,0,1
336.1395605508414,8,51.26,1,0
453.8036566465969,7,26.78,0,1
